Rank,Player Name,DG ID,Data Coverage %,Dampening Applied?,Group Scores (Before Dampening),Group Scores (After Dampening if applicable),Weighted Score,Confidence Factor,Past Perf Multiplier,Refined Weighted Score,Final WAR,Notes
1,"Finau, Tony",11676,95.1,NO,Driving Performance: 11.868; Approach - Short (<100): -0.469; Approach - Mid (100-150): -0.214; Approach - Long (150-200): 0.150; Approach - Very Long (>200): -0.157; Putting: -0.594; Around the Green: -0.773; Scoring: -0.071; Course Management: 0.035,,1.303,0.988,0.893,1.287,0.04,
2,"Kim, S.H.",21688,95.1,NO,Driving Performance: 12.725; Approach - Short (<100): -0.579; Approach - Mid (100-150): -0.458; Approach - Long (150-200): -0.687; Approach - Very Long (>200): -1.219; Putting: -0.346; Around the Green: 0.789; Scoring: -1.037; Course Management: -0.239,,1.322,0.988,0.87,1.306,-0.06,
3,"Ewart, A.J.",21883,70.7,NO,Driving Performance: 8.854; Approach - Short (<100): 0.144; Approach - Mid (100-150): 0.350; Approach - Long (150-200): -0.514; Approach - Very Long (>200): 1.216; Putting: 1.081; Around the Green: -0.683; Scoring: -0.197; Course Management: 0.194,,1.135,0.921,0.896,1.045,0.03,
4,"Simpson, Webb",11049,92.7,NO,Driving Performance: 7.948; Approach - Short (<100): -0.117; Approach - Mid (100-150): -0.113; Approach - Long (150-200): -0.424; Approach - Very Long (>200): 0.434; Putting: -1.244; Around the Green: 1.428; Scoring: 0.190; Course Management: -0.186,,1.108,0.981,0.839,1.087,0.07,
5,"Davis, Cam",17786,95.1,NO,Driving Performance: 9.319; Approach - Short (<100): 0.025; Approach - Mid (100-150): -0.227; Approach - Long (150-200): -0.744; Approach - Very Long (>200): -0.503; Putting: -1.380; Around the Green: 0.942; Scoring: -0.326; Course Management: -0.307,,1.067,0.988,0.805,1.054,-0.07,
6,"Nakajima, Keita",21074,75.6,NO,Driving Performance: 5.031; Approach - Short (<100): 1.090; Approach - Mid (100-150): 0.487; Approach - Long (150-200): 0.521; Approach - Very Long (>200): 0.238; Putting: -1.808; Around the Green: -0.832; Scoring: 0.999; Course Management: 0.389,,0.901,0.935,0.796,0.842,0.27,
7,"Bauchou, Zach",19846,70.7,NO,Driving Performance: 7.352; Approach - Short (<100): -0.962; Approach - Mid (100-150): -0.244; Approach - Long (150-200): 0.206; Approach - Very Long (>200): 1.216; Putting: 0.308; Around the Green: 0.713; Scoring: -0.116; Course Management: 0.169,,0.958,0.921,0.842,0.882,0.07,
8,"Parry, John",13764,95.1,NO,Driving Performance: 4.713; Approach - Short (<100): 0.521; Approach - Mid (100-150): 0.337; Approach - Long (150-200): 0.099; Approach - Very Long (>200): -0.418; Putting: -0.212; Around the Green: 0.370; Scoring: 0.809; Course Management: -0.055,,0.882,0.988,0.867,0.871,0.25,
9,"Li, Haotong",15310,95.1,NO,Driving Performance: 6.847; Approach - Short (<100): 0.712; Approach - Mid (100-150): 0.002; Approach - Long (150-200): 0.750; Approach - Very Long (>200): -0.228; Putting: 1.050; Around the Green: -3.046; Scoring: 0.652; Course Management: -0.113,,0.761,0.988,0.966,0.751,0.12,
10,"Hovland, Viktor",18841,95.1,NO,Driving Performance: 1.035; Approach - Short (<100): 0.505; Approach - Mid (100-150): 0.374; Approach - Long (150-200): 0.528; Approach - Very Long (>200): 0.430; Putting: 1.912; Around the Green: -0.026; Scoring: 1.536; Course Management: 0.124,,0.635,0.988,1.019,0.627,0.39,
11,"Jaeger, Stephan",16394,95.1,NO,Driving Performance: 3.187; Approach - Short (<100): 0.473; Approach - Mid (100-150): -0.120; Approach - Long (150-200): 0.209; Approach - Very Long (>200): -0.397; Putting: -0.241; Around the Green: 1.089; Scoring: 0.353; Course Management: -0.031,,0.669,0.988,0.979,0.661,0.19,
12,"Mitchell, Keith",17365,95.1,NO,Driving Performance: 4.380; Approach - Short (<100): -0.353; Approach - Mid (100-150): -0.002; Approach - Long (150-200): -0.138; Approach - Very Long (>200): 0.057; Putting: -0.698; Around the Green: 0.644; Scoring: 0.550; Course Management: -0.015,,0.62,0.988,0.919,0.613,0.15,
13,"Dou, Zecheng",16757,51.2,YES,Driving Performance: 8.132; Approach - Short (<100): 1.090; Approach - Mid (100-150): 0.128; Approach - Long (150-200): 0.804; Approach - Very Long (>200): 1.216; Putting: -0.129; Around the Green: 0.321; Scoring: -0.070; Course Management: 0.909,Driving Performance: 3.912; Approach - Short (<100): 0.524; Approach - Mid (100-150): 0.062; Approach - Long (150-200): 0.387; Approach - Very Long (>200): 0.585; Putting: -0.062; Around the Green: 0.154; Scoring: -0.034; Course Management: 0.437,0.712,0.858,0.86,0.561,0.28,Dampened by √0.51 = 0.716
14,"Hisatsune, Ryo",22760,95.1,NO,Driving Performance: 3.778; Approach - Short (<100): -1.073; Approach - Mid (100-150): -0.071; Approach - Long (150-200): -0.015; Approach - Very Long (>200): -0.397; Putting: 1.865; Around the Green: 1.360; Scoring: 0.091; Course Management: -0.068,,0.612,0.988,1.024,0.604,0.14,
15,"Meissner, Mac",28159,95.1,NO,Driving Performance: 1.779; Approach - Short (<100): -0.312; Approach - Mid (100-150): 0.069; Approach - Long (150-200): -0.121; Approach - Very Long (>200): -0.098; Putting: -0.693; Around the Green: 2.391; Scoring: 0.530; Course Management: -0.099,,0.554,0.988,0.864,0.547,0.16,
16,"Knapp, Jake",19396,95.1,NO,Driving Performance: 5.066; Approach - Short (<100): -0.390; Approach - Mid (100-150): 0.239; Approach - Long (150-200): -0.536; Approach - Very Long (>200): -0.264; Putting: 2.061; Around the Green: -0.692; Scoring: 0.045; Course Management: 0.159,,0.57,0.988,1.03,0.563,-0.02,
17,"VanDerLaan, John",25319,39,YES,Driving Performance: 9.516; Approach - Short (<100): 1.090; Approach - Mid (100-150): 0.114; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: -0.339; Around the Green: 0.203; Scoring: -0.107; Course Management: 1.477,Driving Performance: 3.813; Approach - Short (<100): 0.437; Approach - Mid (100-150): 0.046; Approach - Long (150-200): 0.538; Approach - Very Long (>200): 0.487; Putting: -0.136; Around the Green: 0.081; Scoring: -0.043; Course Management: 0.592,0.696,0.812,0.844,0.49,0.29,Dampened by √0.39 = 0.625
18,"Yellamaraju, Sudarshan",29925,63.4,YES,Driving Performance: 6.916; Approach - Short (<100): 1.090; Approach - Mid (100-150): 0.480; Approach - Long (150-200): -0.081; Approach - Very Long (>200): 1.216; Putting: 0.969; Around the Green: -1.424; Scoring: -0.192; Course Management: 1.023,Driving Performance: 3.995; Approach - Short (<100): 0.630; Approach - Mid (100-150): 0.277; Approach - Long (150-200): -0.047; Approach - Very Long (>200): 0.702; Putting: 0.559; Around the Green: -0.822; Scoring: -0.111; Course Management: 0.591,0.599,0.898,0.831,0.523,0.19,Dampened by √0.63 = 0.796
19,"Theegala, Sahith",23014,95.1,NO,Driving Performance: 3.824; Approach - Short (<100): 0.039; Approach - Mid (100-150): -0.260; Approach - Long (150-200): -0.170; Approach - Very Long (>200): -0.180; Putting: 1.127; Around the Green: 0.468; Scoring: -0.006; Course Management: -0.117,,0.545,0.988,1.032,0.538,0.05,
20,"Matsuyama, Hideki",13562,95.1,NO,Driving Performance: -1.279; Approach - Short (<100): 0.370; Approach - Mid (100-150): -0.145; Approach - Long (150-200): 0.343; Approach - Very Long (>200): 0.410; Putting: -0.377; Around the Green: 2.786; Scoring: 1.107; Course Management: 0.245,,0.459,0.988,1.011,0.453,0.22,
21,"Coody, Pierceson",28309,92.7,NO,Driving Performance: 2.909; Approach - Short (<100): 0.328; Approach - Mid (100-150): -0.338; Approach - Long (150-200): -0.638; Approach - Very Long (>200): -0.397; Putting: 1.447; Around the Green: 1.057; Scoring: -0.101; Course Management: -0.120,,0.47,0.981,1.079,0.462,0.05,
22,"Thompson, Davis",27364,95.1,NO,Driving Performance: 2.385; Approach - Short (<100): 0.027; Approach - Mid (100-150): -0.078; Approach - Long (150-200): -0.081; Approach - Very Long (>200): -0.530; Putting: -1.621; Around the Green: 1.243; Scoring: 0.454; Course Management: -0.067,,0.424,0.988,0.867,0.418,0.13,
23,"Hirata, Kensei",20954,46.3,YES,Driving Performance: 7.450; Approach - Short (<100): -1.711; Approach - Mid (100-150): 1.315; Approach - Long (150-200): 0.687; Approach - Very Long (>200): 1.216; Putting: 0.390; Around the Green: -0.696; Scoring: -0.052; Course Management: 1.394,Driving Performance: 3.331; Approach - Short (<100): -0.765; Approach - Mid (100-150): 0.588; Approach - Long (150-200): 0.307; Approach - Very Long (>200): 0.544; Putting: 0.175; Around the Green: -0.311; Scoring: -0.023; Course Management: 0.624,0.484,0.84,0.813,0.366,0.22,Dampened by √0.46 = 0.681
24,"Gonzalez, Emilio",28016,70.7,NO,Driving Performance: 1.141; Approach - Short (<100): 1.051; Approach - Mid (100-150): 0.602; Approach - Long (150-200): -0.980; Approach - Very Long (>200): 1.216; Putting: 0.113; Around the Green: 1.137; Scoring: -0.698; Course Management: 0.195,,0.409,0.921,0.806,0.376,0.1,
25,"Berger, Daniel",17606,95.1,NO,Driving Performance: -0.446; Approach - Short (<100): 0.406; Approach - Mid (100-150): -0.103; Approach - Long (150-200): 0.302; Approach - Very Long (>200): 0.015; Putting: 0.317; Around the Green: 1.073; Scoring: 1.002; Course Management: 0.129,,0.322,0.988,0.896,0.318,0.21,
26,"Kim, Si Woo",14609,95.1,NO,Driving Performance: 1.233; Approach - Short (<100): -0.265; Approach - Mid (100-150): 0.020; Approach - Long (150-200): 0.275; Approach - Very Long (>200): 0.341; Putting: 0.234; Around the Green: 0.039; Scoring: 1.194; Course Management: -0.075,,0.322,0.988,1.132,0.318,0.2,
27,"Stevens, Sam",25569,95.1,NO,Driving Performance: 3.945; Approach - Short (<100): -0.272; Approach - Mid (100-150): -0.579; Approach - Long (150-200): -0.378; Approach - Very Long (>200): -0.429; Putting: 0.064; Around the Green: 0.595; Scoring: -0.212; Course Management: -0.283,,0.353,0.988,0.941,0.349,-0.09,
28,"Lebioda, Hank",21943,26.8,YES,Driving Performance: 6.205; Approach - Short (<100): 1.090; Approach - Mid (100-150): 1.315; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: 0.246; Around the Green: -0.920; Scoring: 0.137; Course Management: 1.941,Driving Performance: 2.070; Approach - Short (<100): 0.364; Approach - Mid (100-150): 0.439; Approach - Long (150-200): 0.448; Approach - Very Long (>200): 0.406; Putting: 0.082; Around the Green: -0.307; Scoring: 0.046; Course Management: 0.648,0.479,0.759,0.809,0.296,0.4,Dampened by √0.27 = 0.518
29,"Smotherman, Austin",22985,26.8,YES,Driving Performance: 6.359; Approach - Short (<100): 1.090; Approach - Mid (100-150): 1.315; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: 0.218; Around the Green: -1.221; Scoring: -0.205; Course Management: 1.925,Driving Performance: 2.122; Approach - Short (<100): 0.364; Approach - Mid (100-150): 0.439; Approach - Long (150-200): 0.448; Approach - Very Long (>200): 0.406; Putting: 0.073; Around the Green: -0.408; Scoring: -0.068; Course Management: 0.643,0.457,0.759,0.872,0.283,0.39,Dampened by √0.27 = 0.518
30,"Chatfield, Davis",30620,26.8,YES,Driving Performance: 3.164; Approach - Short (<100): 1.090; Approach - Mid (100-150): 1.315; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: -0.962; Around the Green: 0.614; Scoring: 0.256; Course Management: 1.812,Driving Performance: 1.056; Approach - Short (<100): 0.364; Approach - Mid (100-150): 0.439; Approach - Long (150-200): 0.448; Approach - Very Long (>200): 0.406; Putting: -0.321; Around the Green: 0.205; Scoring: 0.085; Course Management: 0.605,0.406,0.759,0.807,0.251,0.48,Dampened by √0.27 = 0.518
31,"Lee, S.T.",16162,26.8,YES,Driving Performance: 2.501; Approach - Short (<100): 1.090; Approach - Mid (100-150): 1.315; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: -0.938; Around the Green: 0.529; Scoring: 0.414; Course Management: 1.727,Driving Performance: 0.835; Approach - Short (<100): 0.364; Approach - Mid (100-150): 0.439; Approach - Long (150-200): 0.448; Approach - Very Long (>200): 0.406; Putting: -0.313; Around the Green: 0.176; Scoring: 0.138; Course Management: 0.576,0.377,0.759,0.811,0.233,0.43,Dampened by √0.27 = 0.518
32,"Avant, Thomas",31585,50,YES,Driving Performance: -2.868; Approach - Short (<100): 1.090; Approach - Mid (100-150): 1.315; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: 0.155; Around the Green: 0.190; Scoring: 2.961; Course Management: 1.598,Driving Performance: -1.355; Approach - Short (<100): 0.515; Approach - Mid (100-150): 0.621; Approach - Long (150-200): 0.635; Approach - Very Long (>200): 0.574; Putting: 0.073; Around the Green: 0.090; Scoring: 1.399; Course Management: 0.755,0.335,0.854,1,0.262,0.33,Dampened by √0.50 = 0.707
33,"Keefer, Johnny",32457,95.1,NO,Driving Performance: 2.250; Approach - Short (<100): -0.221; Approach - Mid (100-150): -0.065; Approach - Long (150-200): 0.360; Approach - Very Long (>200): -0.119; Putting: -0.428; Around the Green: -0.426; Scoring: 0.851; Course Management: -0.095,,0.302,0.988,0.882,0.298,0.11,
34,"Cole, Eric",21756,95.1,NO,Driving Performance: 0.722; Approach - Short (<100): 0.290; Approach - Mid (100-150): 0.211; Approach - Long (150-200): -0.033; Approach - Very Long (>200): -0.562; Putting: 0.402; Around the Green: 0.232; Scoring: 0.654; Course Management: -0.077,,0.275,0.988,0.876,0.271,0.15,
35,"Schauffele, Xander",19895,95.1,NO,Driving Performance: 0.050; Approach - Short (<100): 0.563; Approach - Mid (100-150): 0.076; Approach - Long (150-200): -0.013; Approach - Very Long (>200): 0.234; Putting: -0.096; Around the Green: 0.711; Scoring: 0.612; Course Management: -0.130,,0.269,0.988,0.967,0.266,0.17,
36,"Clark, Wyndham",23604,95.1,NO,Driving Performance: 1.835; Approach - Short (<100): -0.058; Approach - Mid (100-150): 0.054; Approach - Long (150-200): -0.403; Approach - Very Long (>200): -0.131; Putting: 0.454; Around the Green: 0.379; Scoring: 0.494; Course Management: -0.090,,0.304,0.988,0.881,0.301,0.06,
37,"Lamprecht, Christo",24343,39,YES,Driving Performance: 3.876; Approach - Short (<100): 1.090; Approach - Mid (100-150): -0.333; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: -1.820; Around the Green: 0.620; Scoring: -0.339; Course Management: 1.256,Driving Performance: 1.553; Approach - Short (<100): 0.437; Approach - Mid (100-150): -0.134; Approach - Long (150-200): 0.538; Approach - Very Long (>200): 0.487; Putting: -0.729; Around the Green: 0.249; Scoring: -0.136; Course Management: 0.503,0.35,0.812,0.815,0.247,0.22,Dampened by √0.39 = 0.625
38,"Kang, Jeffrey",21889,26.8,YES,Driving Performance: 2.295; Approach - Short (<100): 1.090; Approach - Mid (100-150): 1.315; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: -0.883; Around the Green: -0.202; Scoring: -0.151; Course Management: 1.877,Driving Performance: 0.766; Approach - Short (<100): 0.364; Approach - Mid (100-150): 0.439; Approach - Long (150-200): 0.448; Approach - Very Long (>200): 0.406; Putting: -0.295; Around the Green: -0.067; Scoring: -0.050; Course Management: 0.626,0.315,0.759,0.805,0.195,0.33,Dampened by √0.27 = 0.518
39,"Blanchet, Chandler",24956,46.3,YES,Driving Performance: 3.513; Approach - Short (<100): 0.345; Approach - Mid (100-150): -0.046; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: -1.268; Around the Green: -0.567; Scoring: -0.291; Course Management: 1.130,Driving Performance: 1.571; Approach - Short (<100): 0.154; Approach - Mid (100-150): -0.021; Approach - Long (150-200): 0.601; Approach - Very Long (>200): 0.544; Putting: -0.567; Around the Green: -0.254; Scoring: -0.130; Course Management: 0.505,0.276,0.84,0.833,0.209,0.16,Dampened by √0.46 = 0.681
40,"Morikawa, Collin",22085,95.1,NO,Driving Performance: 1.567; Approach - Short (<100): 0.142; Approach - Mid (100-150): 0.624; Approach - Long (150-200): 0.154; Approach - Very Long (>200): 0.048; Putting: -1.646; Around the Green: -0.895; Scoring: 0.956; Course Management: -0.100,,0.244,0.988,0.865,0.241,0.2,
41,"Penge, Marco",22465,82.9,NO,Driving Performance: -0.403; Approach - Short (<100): 0.018; Approach - Mid (100-150): 0.776; Approach - Long (150-200): 0.459; Approach - Very Long (>200): 0.175; Putting: -2.196; Around the Green: 0.712; Scoring: 0.715; Course Management: -0.314,,0.222,0.955,0.79,0.212,0.22,
42,"Fox, Ryan",11889,95.1,NO,Driving Performance: 0.019; Approach - Short (<100): -0.192; Approach - Mid (100-150): 0.488; Approach - Long (150-200): 0.104; Approach - Very Long (>200): -0.235; Putting: 1.044; Around the Green: 0.316; Scoring: 0.454; Course Management: 0.062,,0.224,0.988,0.85,0.221,0.15,
43,"McNealy, Maverick",18634,95.1,NO,Driving Performance: -0.632; Approach - Short (<100): -0.009; Approach - Mid (100-150): -0.065; Approach - Long (150-200): 0.042; Approach - Very Long (>200): -0.384; Putting: 2.694; Around the Green: 0.867; Scoring: 0.521; Course Management: 0.011,,0.222,0.988,1.01,0.22,0.12,
44,"Rodgers, Patrick",16283,95.1,NO,Driving Performance: 2.766; Approach - Short (<100): -0.743; Approach - Mid (100-150): -0.337; Approach - Long (150-200): 0.091; Approach - Very Long (>200): -0.516; Putting: -0.147; Around the Green: 0.430; Scoring: 0.220; Course Management: -0.098,,0.266,0.988,0.934,0.262,0.01,
45,"Hughes, Mackenzie",15556,95.1,NO,Driving Performance: 0.426; Approach - Short (<100): 0.157; Approach - Mid (100-150): -0.202; Approach - Long (150-200): -0.327; Approach - Very Long (>200): -0.585; Putting: -0.153; Around the Green: 1.776; Scoring: 0.204; Course Management: -0.199,,0.245,0.988,0.799,0.242,0.04,
46,"McGreevy, Max",23505,95.1,NO,Driving Performance: 1.069; Approach - Short (<100): 0.281; Approach - Mid (100-150): -0.179; Approach - Long (150-200): -0.183; Approach - Very Long (>200): -0.030; Putting: -0.671; Around the Green: 1.029; Scoring: 0.164; Course Management: -0.243,,0.245,0.988,0.899,0.241,0.03,
47,"English, Harris",14577,95.1,NO,Driving Performance: 1.672; Approach - Short (<100): 0.170; Approach - Mid (100-150): -0.462; Approach - Long (150-200): 0.245; Approach - Very Long (>200): -0.380; Putting: 1.368; Around the Green: -0.314; Scoring: 0.148; Course Management: -0.120,,0.215,0.988,0.953,0.212,0.05,
48,"Shipley, Neal",32055,51.2,YES,Driving Performance: 1.069; Approach - Short (<100): 1.090; Approach - Mid (100-150): 0.692; Approach - Long (150-200): 0.357; Approach - Very Long (>200): 1.216; Putting: -0.256; Around the Green: -0.856; Scoring: 0.032; Course Management: 0.969,Driving Performance: 0.514; Approach - Short (<100): 0.524; Approach - Mid (100-150): 0.333; Approach - Long (150-200): 0.172; Approach - Very Long (>200): 0.585; Putting: -0.123; Around the Green: -0.412; Scoring: 0.015; Course Management: 0.466,0.206,0.858,0.818,0.162,0.18,Dampened by √0.51 = 0.716
49,"Nyholm, Pontus",25475,39,YES,Driving Performance: 0.128; Approach - Short (<100): 1.090; Approach - Mid (100-150): -0.594; Approach - Long (150-200): 1.343; Approach - Very Long (>200): 1.216; Putting: 0.135; Around the Green: 0.947; Scoring: -0.844; Course Management: 1.112,Driving Performance: 0.051; Approach - Short (<100): 0.437; Approach - Mid (100-150): -0.238; Approach - Long (150-200): 0.538; Approach - Very Long (>200): 0.487; Putting: 0.054; Around the Green: 0.380; Scoring: -0.333; Course Management: 0.445,0.17,0.812,0.793,0.12,0.14,Dampened by √0.39 = 0.625
50,"Koepka, Brooks",16243,82.9,NO,Driving Performance: 0.475; Approach - Short (<100): -0.182; Approach - Mid (100-150): -0.422; Approach - Long (150-200): -0.146; Approach - Very Long (>200): 0.568; Putting: 0.439; Around the Green: 1.147; Scoring: 0.193; Course Management: -0.056,,0.167,0.955,0.844,0.159,0.04,
51,"Eckroat, Austin",26653,95.1,NO,Driving Performance: 1.952; Approach - Short (<100): -0.399; Approach - Mid (100-150): 0.195; Approach - Long (150-200): -0.329; Approach - Very Long (>200): 0.169; Putting: -0.787; Around the Green: -0.390; Scoring: 0.611; Course Management: -0.289,,0.14,0.988,0.843,0.138,0.03,
52,"Schenk, Adam",19477,95.1,NO,Driving Performance: 3.548; Approach - Short (<100): -0.559; Approach - Mid (100-150): 0.015; Approach - Long (150-200): -0.597; Approach - Very Long (>200): -0.272; Putting: -1.384; Around the Green: 0.020; Scoring: -0.252; Course Management: -0.289,,0.176,0.988,0.898,0.173,-0.08,
53,"Hojgaard, Rasmus",23838,95.1,NO,Driving Performance: 3.742; Approach - Short (<100): -1.074; Approach - Mid (100-150): -0.236; Approach - Long (150-200): -0.311; Approach - Very Long (>200): -0.076; Putting: -0.231; Around the Green: -0.504; Scoring: 0.198; Course Management: -0.209,,0.162,0.988,0.908,0.16,-0.08,
54,"Novak, Andrew",23475,92.7,NO,Driving Performance: 0.162; Approach - Short (<100): 0.218; Approach - Mid (100-150): -0.472; Approach - Long (150-200): -0.234; Approach - Very Long (>200): -0.178; Putting: 0.096; Around the Green: 1.135; Scoring: 0.089; Course Management: -0.069,,0.108,0.981,0.995,0.106,-0.03,
55,"Hoge, Tom",15575,95.1,NO,Driving Performance: 0.792; Approach - Short (<100): 0.021; Approach - Mid (100-150): 0.176; Approach - Long (150-200): -0.014; Approach - Very Long (>200): -0.122; Putting: -1.071; Around the Green: -0.381; Scoring: 0.582; Course Management: 0.008,,0.086,0.988,0.884,0.085,0.02,
